中国大陆频道（混合组提取）,#genre#
潮州民生高清,http://lsa.familyds.com:8188/udp/239.253.43.75:5146
广东卫视高清,http://lsa.familyds.com:8188/udp/239.77.0.84:5146
广东珠江高清,http://lsa.familyds.com:8188/udp/239.77.0.1:5146
广东新闻高清,http://lsa.familyds.com:8188/udp/239.77.0.173:5146
广东民生高清,http://lsa.familyds.com:8188/udp/239.77.0.225:5146
广东体育高清,http://lsa.familyds.com:8188/udp/239.77.0.112:5146
经济科教高清,http://lsa.familyds.com:8188/udp/239.77.0.85:5146
大湾区卫视高清,http://lsa.familyds.com:8188/udp/239.77.0.215:5146
广东影视高清,http://lsa.familyds.com:8188/udp/239.77.0.217:5146
广东少儿高清,http://lsa.familyds.com:8188/udp/239.77.0.250:5146
揭阳综合高清,http://www.yahao.host:4022/udp/239.77.0.229:5146
揭阳生活高清,http://www.yahao.host:4022/udp/239.77.0.251:5146
汕尾综合高清,http://www.yahao.host:4022/udp/239.77.0.25:5146
汕尾生活高清,http://www.yahao.host:4022/udp/239.77.0.187:5146
汕头综合高清,http://www.yahao.host:4022/udp/239.253.43.45:5146
汕头生活高清,http://www.yahao.host:4022/udp/239.253.43.46:5146
潮州综合高清,http://www.yahao.host:4022/udp/239.253.43.70:5146
潮州民生高清,http://www.yahao.host:4022/udp/239.253.43.75:5146
广东卫视高清,http://www.yahao.host:4022/udp/239.77.0.84:5146
广东珠江高清,http://www.yahao.host:4022/udp/239.77.0.1:5146
广东新闻高清,http://www.yahao.host:4022/udp/239.77.0.173:5146
广东民生高清,http://www.yahao.host:4022/udp/239.77.0.225:5146
广东体育高清,http://www.yahao.host:4022/udp/239.77.0.112:5146
经济科教高清,http://www.yahao.host:4022/udp/239.77.0.85:5146
大湾区卫视高清,http://www.yahao.host:4022/udp/239.77.0.215:5146
广东影视高清,http://www.yahao.host:4022/udp/239.77.0.217:5146
广东少儿高清,http://www.yahao.host:4022/udp/239.77.0.250:5146
揭阳综合高清,http://gdyd.7259.cc.cd:4111/udp/239.77.0.229:5146
揭阳生活高清,http://gdyd.7259.cc.cd:4111/udp/239.77.0.251:5146
汕尾综合高清,http://gdyd.7259.cc.cd:4111/udp/239.77.0.25:5146
汕尾生活高清,http://gdyd.7259.cc.cd:4111/udp/239.77.0.187:5146
汕头综合高清,http://gdyd.7259.cc.cd:4111/udp/239.253.43.45:5146
汕头生活高清,http://gdyd.7259.cc.cd:4111/udp/239.253.43.46:5146
潮州综合高清,http://gdyd.7259.cc.cd:4111/udp/239.253.43.70:5146
潮州民生高清,http://gdyd.7259.cc.cd:4111/udp/239.253.43.75:5146
广东卫视高清,http://gdyd.7259.cc.cd:4111/udp/239.77.0.84:5146
广东珠江高清,http://gdyd.7259.cc.cd:4111/udp/239.77.0.1:5146
广东新闻高清,http://gdyd.7259.cc.cd:4111/udp/239.77.0.173:5146
广东民生高清,http://gdyd.7259.cc.cd:4111/udp/239.77.0.225:5146
广东体育高清,http://gdyd.7259.cc.cd:4111/udp/239.77.0.112:5146
经济科教高清,http://gdyd.7259.cc.cd:4111/udp/239.77.0.85:5146
大湾区卫视高清,http://gdyd.7259.cc.cd:4111/udp/239.77.0.215:5146
广东影视高清,http://gdyd.7259.cc.cd:4111/udp/239.77.0.217:5146
广东少儿高清,http://gdyd.7259.cc.cd:4111/udp/239.77.0.250:5146
揭阳综合高清,http://gdyd.7259.cc.cd:4014/udp/239.77.0.229:5146
揭阳生活高清,http://gdyd.7259.cc.cd:4014/udp/239.77.0.251:5146
汕尾综合高清,http://gdyd.7259.cc.cd:4014/udp/239.77.0.25:5146
汕尾生活高清,http://gdyd.7259.cc.cd:4014/udp/239.77.0.187:5146
汕头综合高清,http://gdyd.7259.cc.cd:4014/udp/239.253.43.45:5146
汕头生活高清,http://gdyd.7259.cc.cd:4014/udp/239.253.43.46:5146
潮州综合高清,http://gdyd.7259.cc.cd:4014/udp/239.253.43.70:5146
潮州民生高清,http://gdyd.7259.cc.cd:4014/udp/239.253.43.75:5146
广东卫视高清,http://gdyd.7259.cc.cd:4014/udp/239.77.0.84:5146
广东珠江高清,http://gdyd.7259.cc.cd:4014/udp/239.77.0.1:5146
广东新闻高清,http://gdyd.7259.cc.cd:4014/udp/239.77.0.173:5146
广东民生高清,http://gdyd.7259.cc.cd:4014/udp/239.77.0.225:5146
广东体育高清,http://gdyd.7259.cc.cd:4014/udp/239.77.0.112:5146
经济科教高清,http://gdyd.7259.cc.cd:4014/udp/239.77.0.85:5146
大湾区卫视高清,http://gdyd.7259.cc.cd:4014/udp/239.77.0.215:5146
广东影视高清,http://gdyd.7259.cc.cd:4014/udp/239.77.0.217:5146
广东少儿高清,http://gdyd.7259.cc.cd:4014/udp/239.77.0.250:5146
揭阳综合高清,http://www.syy3.top:3861/udp/239.77.0.229:5146
揭阳生活高清,http://www.syy3.top:3861/udp/239.77.0.251:5146
汕尾综合高清,http://www.syy3.top:3861/udp/239.77.0.25:5146
汕尾生活高清,http://www.syy3.top:3861/udp/239.77.0.187:5146
汕头综合高清,http://www.syy3.top:3861/udp/239.253.43.45:5146
汕头生活高清,http://www.syy3.top:3861/udp/239.253.43.46:5146
潮州综合高清,http://www.syy3.top:3861/udp/239.253.43.70:5146
潮州民生高清,http://www.syy3.top:3861/udp/239.253.43.75:5146
广东卫视高清,http://www.syy3.top:3861/udp/239.77.0.84:5146
广东珠江高清,http://www.syy3.top:3861/udp/239.77.0.1:5146
广东新闻高清,http://www.syy3.top:3861/udp/239.77.0.173:5146
广东民生高清,http://www.syy3.top:3861/udp/239.77.0.225:5146
广东体育高清,http://www.syy3.top:3861/udp/239.77.0.112:5146
经济科教高清,http://www.syy3.top:3861/udp/239.77.0.85:5146
大湾区卫视高清,http://www.syy3.top:3861/udp/239.77.0.215:5146
广东影视高清,http://www.syy3.top:3861/udp/239.77.0.217:5146
广东少儿高清,http://www.syy3.top:3861/udp/239.77.0.250:5146
揭阳综合高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.229:5146
揭阳生活高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.251:5146
汕尾综合高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.25:5146
汕尾生活高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.187:5146
汕头综合高清,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.45:5146
汕头生活高清,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.46:5146
潮州综合高清,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.70:5146
潮州民生高清,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.75:5146
广东卫视高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.84:5146
广东珠江高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.1:5146
广东新闻高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.173:5146
广东民生高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.225:5146
广东体育高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.112:5146
经济科教高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.85:5146
大湾区卫视高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.215:5146
广东影视高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.217:5146
广东少儿高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.250:5146
揭阳综合高清,http://plex.cyruslee.top:8888/udp/239.77.0.229:5146
揭阳生活高清,http://plex.cyruslee.top:8888/udp/239.77.0.251:5146
汕尾综合高清,http://plex.cyruslee.top:8888/udp/239.77.0.25:5146
汕尾生活高清,http://plex.cyruslee.top:8888/udp/239.77.0.187:5146
汕头综合高清,http://plex.cyruslee.top:8888/udp/239.253.43.45:5146
汕头生活高清,http://plex.cyruslee.top:8888/udp/239.253.43.46:5146
潮州综合高清,http://plex.cyruslee.top:8888/udp/239.253.43.70:5146
潮州民生高清,http://plex.cyruslee.top:8888/udp/239.253.43.75:5146
广东卫视高清,http://plex.cyruslee.top:8888/udp/239.77.0.84:5146
广东珠江高清,http://plex.cyruslee.top:8888/udp/239.77.0.1:5146
广东新闻高清,http://plex.cyruslee.top:8888/udp/239.77.0.173:5146
广东民生高清,http://plex.cyruslee.top:8888/udp/239.77.0.225:5146
广东体育高清,http://plex.cyruslee.top:8888/udp/239.77.0.112:5146
经济科教高清,http://plex.cyruslee.top:8888/udp/239.77.0.85:5146
大湾区卫视高清,http://plex.cyruslee.top:8888/udp/239.77.0.215:5146
广东影视高清,http://plex.cyruslee.top:8888/udp/239.77.0.217:5146
广东少儿高清,http://plex.cyruslee.top:8888/udp/239.77.0.250:5146
揭阳综合高清,http://jellyfin.cyruslee.top:8888/udp/239.77.0.229:5146
揭阳生活高清,http://jellyfin.cyruslee.top:8888/udp/239.77.0.251:5146
汕尾综合高清,http://jellyfin.cyruslee.top:8888/udp/239.77.0.25:5146
汕尾生活高清,http://jellyfin.cyruslee.top:8888/udp/239.77.0.187:5146
汕头综合高清,http://jellyfin.cyruslee.top:8888/udp/239.253.43.45:5146
汕头生活高清,http://jellyfin.cyruslee.top:8888/udp/239.253.43.46:5146
潮州综合高清,http://jellyfin.cyruslee.top:8888/udp/239.253.43.70:5146
潮州民生高清,http://jellyfin.cyruslee.top:8888/udp/239.253.43.75:5146
广东卫视高清,http://jellyfin.cyruslee.top:8888/udp/239.77.0.84:5146
广东珠江高清,http://jellyfin.cyruslee.top:8888/udp/239.77.0.1:5146
广东新闻高清,http://jellyfin.cyruslee.top:8888/udp/239.77.0.173:5146
广东民生高清,http://jellyfin.cyruslee.top:8888/udp/239.77.0.225:5146
广东体育高清,http://jellyfin.cyruslee.top:8888/udp/239.77.0.112:5146
经济科教高清,http://jellyfin.cyruslee.top:8888/udp/239.77.0.85:5146
大湾区卫视高清,http://jellyfin.cyruslee.top:8888/udp/239.77.0.215:5146
广东影视高清,http://jellyfin.cyruslee.top:8888/udp/239.77.0.217:5146
广东少儿高清,http://jellyfin.cyruslee.top:8888/udp/239.77.0.250:5146
揭阳综合高清,http://www.3344.uk:8888/udp/239.77.0.229:5146
揭阳生活高清,http://www.3344.uk:8888/udp/239.77.0.251:5146
汕尾综合高清,http://www.3344.uk:8888/udp/239.77.0.25:5146
汕尾生活高清,http://www.3344.uk:8888/udp/239.77.0.187:5146
汕头综合高清,http://www.3344.uk:8888/udp/239.253.43.45:5146
汕头生活高清,http://www.3344.uk:8888/udp/239.253.43.46:5146
潮州综合高清,http://www.3344.uk:8888/udp/239.253.43.70:5146
潮州民生高清,http://www.3344.uk:8888/udp/239.253.43.75:5146
广东卫视高清,http://www.3344.uk:8888/udp/239.77.0.84:5146
广东珠江高清,http://www.3344.uk:8888/udp/239.77.0.1:5146
广东新闻高清,http://www.3344.uk:8888/udp/239.77.0.173:5146
广东民生高清,http://www.3344.uk:8888/udp/239.77.0.225:5146
广东体育高清,http://www.3344.uk:8888/udp/239.77.0.112:5146
经济科教高清,http://www.3344.uk:8888/udp/239.77.0.85:5146
大湾区卫视高清,http://www.3344.uk:8888/udp/239.77.0.215:5146
广东影视高清,http://www.3344.uk:8888/udp/239.77.0.217:5146
广东少儿高清,http://www.3344.uk:8888/udp/239.77.0.250:5146
揭阳综合高清,http://ikuai.cyruslee.top:8888/udp/239.77.0.229:5146
揭阳生活高清,http://ikuai.cyruslee.top:8888/udp/239.77.0.251:5146
汕尾综合高清,http://ikuai.cyruslee.top:8888/udp/239.77.0.25:5146
汕尾生活高清,http://ikuai.cyruslee.top:8888/udp/239.77.0.187:5146
汕头综合高清,http://ikuai.cyruslee.top:8888/udp/239.253.43.45:5146
汕头生活高清,http://ikuai.cyruslee.top:8888/udp/239.253.43.46:5146
潮州综合高清,http://ikuai.cyruslee.top:8888/udp/239.253.43.70:5146
潮州民生高清,http://ikuai.cyruslee.top:8888/udp/239.253.43.75:5146
广东卫视高清,http://ikuai.cyruslee.top:8888/udp/239.77.0.84:5146
广东珠江高清,http://ikuai.cyruslee.top:8888/udp/239.77.0.1:5146
广东新闻高清,http://ikuai.cyruslee.top:8888/udp/239.77.0.173:5146
广东民生高清,http://ikuai.cyruslee.top:8888/udp/239.77.0.225:5146
广东体育高清,http://ikuai.cyruslee.top:8888/udp/239.77.0.112:5146
经济科教高清,http://ikuai.cyruslee.top:8888/udp/239.77.0.85:5146
大湾区卫视高清,http://ikuai.cyruslee.top:8888/udp/239.77.0.215:5146
广东影视高清,http://ikuai.cyruslee.top:8888/udp/239.77.0.217:5146
广东少儿高清,http://ikuai.cyruslee.top:8888/udp/239.77.0.250:5146
揭阳综合高清,http://yanshifen.top:8889/udp/239.77.0.229:5146
揭阳生活高清,http://yanshifen.top:8889/udp/239.77.0.251:5146
汕尾综合高清,http://yanshifen.top:8889/udp/239.77.0.25:5146
汕尾生活高清,http://yanshifen.top:8889/udp/239.77.0.187:5146
汕头综合高清,http://yanshifen.top:8889/udp/239.253.43.45:5146
汕头生活高清,http://yanshifen.top:8889/udp/239.253.43.46:5146
潮州综合高清,http://yanshifen.top:8889/udp/239.253.43.70:5146
潮州民生高清,http://yanshifen.top:8889/udp/239.253.43.75:5146
广东卫视高清,http://yanshifen.top:8889/udp/239.77.0.84:5146
广东珠江高清,http://yanshifen.top:8889/udp/239.77.0.1:5146
广东新闻高清,http://yanshifen.top:8889/udp/239.77.0.173:5146
广东民生高清,http://yanshifen.top:8889/udp/239.77.0.225:5146
广东体育高清,http://yanshifen.top:8889/udp/239.77.0.112:5146
经济科教高清,http://yanshifen.top:8889/udp/239.77.0.85:5146
大湾区卫视高清,http://yanshifen.top:8889/udp/239.77.0.215:5146
广东影视高清,http://yanshifen.top:8889/udp/239.77.0.217:5146
广东少儿高清,http://yanshifen.top:8889/udp/239.77.0.250:5146
揭阳综合高清,http://www.maomizi.cn:9527/udp/239.77.0.229:5146
揭阳生活高清,http://www.maomizi.cn:9527/udp/239.77.0.251:5146
汕尾综合高清,http://www.maomizi.cn:9527/udp/239.77.0.25:5146
汕尾生活高清,http://www.maomizi.cn:9527/udp/239.77.0.187:5146
汕头综合高清,http://www.maomizi.cn:9527/udp/239.253.43.45:5146
汕头生活高清,http://www.maomizi.cn:9527/udp/239.253.43.46:5146
潮州综合高清,http://www.maomizi.cn:9527/udp/239.253.43.70:5146
潮州民生高清,http://www.maomizi.cn:9527/udp/239.253.43.75:5146
广东卫视高清,http://www.maomizi.cn:9527/udp/239.77.0.84:5146
广东珠江高清,http://www.maomizi.cn:9527/udp/239.77.0.1:5146
广东新闻高清,http://www.maomizi.cn:9527/udp/239.77.0.173:5146
广东民生高清,http://www.maomizi.cn:9527/udp/239.77.0.225:5146
广东体育高清,http://www.maomizi.cn:9527/udp/239.77.0.112:5146
经济科教高清,http://www.maomizi.cn:9527/udp/239.77.0.85:5146
大湾区卫视高清,http://www.maomizi.cn:9527/udp/239.77.0.215:5146
广东影视高清,http://www.maomizi.cn:9527/udp/239.77.0.217:5146
广东少儿高清,http://www.maomizi.cn:9527/udp/239.77.0.250:5146
揭阳综合高清,http://61.145.188.90:50055/udp/239.77.0.229:5146
揭阳生活高清,http://61.145.188.90:50055/udp/239.77.0.251:5146
汕尾综合高清,http://61.145.188.90:50055/udp/239.77.0.25:5146
汕尾生活高清,http://61.145.188.90:50055/udp/239.77.0.187:5146
汕头综合高清,http://61.145.188.90:50055/udp/239.253.43.45:5146
汕头生活高清,http://61.145.188.90:50055/udp/239.253.43.46:5146
潮州综合高清,http://61.145.188.90:50055/udp/239.253.43.70:5146
潮州民生高清,http://61.145.188.90:50055/udp/239.253.43.75:5146
广东卫视高清,http://61.145.188.90:50055/udp/239.77.0.84:5146
广东珠江高清,http://61.145.188.90:50055/udp/239.77.0.1:5146
广东新闻高清,http://61.145.188.90:50055/udp/239.77.0.173:5146
广东民生高清,http://61.145.188.90:50055/udp/239.77.0.225:5146
广东体育高清,http://61.145.188.90:50055/udp/239.77.0.112:5146
经济科教高清,http://61.145.188.90:50055/udp/239.77.0.85:5146
大湾区卫视高清,http://61.145.188.90:50055/udp/239.77.0.215:5146
广东影视高清,http://61.145.188.90:50055/udp/239.77.0.217:5146
广东少儿高清,http://61.145.188.90:50055/udp/239.77.0.250:5146
海南移动,#genre#
CCTV1,http://111.29.9.33:6610/000000001000/1000000001000021973/index.m3u8?channel-id=bestzb&Contentid=1000000001000021973&livemode=1&stbId=3
CCTV2,http://111.29.9.33:6610/000000001000/1000000001000012442/index.m3u8?channel-id=bestzb&Contentid=1000000001000012442&livemode=1&stbId=3
CCTV3,http://111.29.9.33:6610/000000001000/1000000001000011218/index.m3u8?channel-id=bestzb&Contentid=1000000001000011218&livemode=1&stbId=3
CCTV4,http://111.29.9.33:6610/000000001000/1000000002000031664/index.m3u8?channel-id=bestzb&Contentid=1000000002000031664&livemode=1&stbId=3
CCTV5+,http://111.29.9.33:6610/000000001000/1000000001000020505/index.m3u8?channel-id=bestzb&Contentid=1000000001000020505&livemode=1&stbId=3
CCTV5,http://111.29.9.33:6610/000000001000/1000000001000004794/index.m3u8?channel-id=bestzb&Contentid=1000000001000004794&livemode=1&stbId=3
CCTV6,http://111.29.9.33:6610/000000001000/1000000001000016466/index.m3u8?channel-id=bestzb&Contentid=1000000001000016466&livemode=1&stbId=3
CCTV7,http://111.29.9.33:6610/000000001000/1000000001000017218/index.m3u8?channel-id=bestzb&Contentid=1000000001000017218&livemode=1&stbId=3
CCTV8,http://111.29.9.33:6610/000000001000/1000000001000003736/index.m3u8?channel-id=bestzb&Contentid=1000000001000003736&livemode=1&stbId=3
CCTV9,http://111.29.9.33:6610/000000001000/1000000001000014583/index.m3u8?channel-id=bestzb&Contentid=1000000001000014583&livemode=1&stbId=3
CCTV10,http://111.29.9.33:6610/000000001000/1000000001000023734/index.m3u8?channel-id=bestzb&Contentid=1000000001000023734&livemode=1&stbId=3
CCTV11,http://111.29.9.33:6610/000000001000/1000000002000019789/index.m3u8?channel-id=bestzb&Contentid=1000000002000019789&livemode=1&stbId=3
CCTV12,http://111.29.9.33:6610/000000001000/1000000001000001640/index.m3u8?channel-id=bestzb&Contentid=1000000001000001640&livemode=1&stbId=3
CCTV13,http://111.29.9.33:6610/000000001000/1000000002000021303/index.m3u8?channel-id=bestzb&Contentid=1000000002000021303&livemode=1&stbId=3
CCTV14,http://111.29.9.33:6610/000000001000/1000000001000008170/index.m3u8?channel-id=bestzb&Contentid=1000000001000008170&livemode=1&stbId=3
