极速港台（挂梯）,#genre#
Astro QJ,https://cdn3.indevs.in/stream/live/qj/
Astro欢喜台,https://cdn3.indevs.in/stream/live/hxt/
爱奇艺,https://cdn3.indevs.in/stream/live/iqiyi/
天映频道,https://cdn3.indevs.in/stream/live/typd/
天映经典,https://cdn3.indevs.in/stream/live/ccm/
TVB星河,https://cdn3.indevs.in/stream/live/tvbxh/
千禧经典台,https://cdn3.indevs.in/stream/live/tvbc/
翡翠台(WebVTT字幕),https://10.fast.hidns.vip/163189/fct/
明珠台(WebVTT字幕),https://10.fast.hidns.vip/163189/mzt/
TVB Plus(WebVTT字幕),https://10.fast.hidns.vip/163189/tvbp/
黄金华剧台(WebVTT字幕),https://10.fast.hidns.vip/163189/hjhjt/
重温经典,https://168.sryze.cc/163189/cwjd
广州综合,https://168.sryze.cc/163189/gzzh
广州新闻,https://168.sryze.cc/163189/gzxw
广州南国都市,https://cdn15.163189.xyz/163189/ngds
五星体育,https://cdn15.163189.xyz/163189/wxty
民视影剧台,https://cdn12.178.indevs.in/163189/msyj
公视戏剧,https://cdn12.178.indevs.in/163189/gsxj
采昌影剧台,https://cdn12.178.indevs.in/163189/ccyj
靖天映画,https://cdn12.178.indevs.in/163189/jtyh
靖天戏剧台,https://cdn12.178.indevs.in/163189/jtxj
靖天电影台,https://cdn12.178.indevs.in/163189/jtdy
靖洋戏剧台,https://cdn12.178.indevs.in/163189/jyxj
影迷数位电影台,https://cdn12.178.indevs.in/163189/ymswdyt
amc电影台,https://cdn12.178.indevs.in/163189/amc
CinemaWorld,https://cdn12.178.indevs.in/163189/cinemaworld
My Cinema Europe,https://cdn12.178.indevs.in/163189/mce
经典电影台,https://cdn12.178.indevs.in/163189/jddyt
CMusic,https://cdn12.178.indevs.in/163189/cmusic
DreamWorks梦工厂动画,https://cdn12.178.indevs.in/163189/dreamworks
精选动漫台,https://cdn12.178.indevs.in/163189/jxdmt
金光布袋戏,https://cdn12.178.indevs.in/163189/jgbdx
TVB Plus,https://smt.1678520.xyz/163189/tvbp
纬来电影台,https://smt.1678520.xyz/163189/wldy
纬来戏剧台,https://smt.1678520.xyz/163189/wlxj
纬来体育台,https://smt.1678520.xyz/163189/wlty
龙祥时代,https://smt.1678520.xyz/163189/lxsd
东森电影,https://smt.1678520.xyz/163189/dsdy
东森戏剧,https://smt.1678520.xyz/163189/dsxj
东森洋片,https://smt.1678520.xyz/163189/dsyp
咪咕4K(限移动网络),http://r.jdshipin.com/ln4xk
咪咕4K-2(限移动网络),http://r.jdshipin.com/Lqdwf

极速港台2,#genre#
翡翠台,http://gd.wsd.gd.cn:1698/hls/92/index.m3u8
翡翠台,http://116.77.239.26:44300/tsfile/live/0141_1.m3u8
翡翠台,http://211.97.63.3:3443/hls/541/index.m3u8
无线新闻,http://iactive-clink.com:8081/live/yifaTV-007.m3u8
凤凰中文,http://bobohome.ignorelist.com:20247/fengshows?id=2.m3u8
凤凰资讯,http://bobohome.ignorelist.com:20247/fengshows?id=1.m3u8
凤凰香港,http://bobohome.ignorelist.com:20247/fengshows?id=3.m3u8
中天新闻,http://173.208.234.146/live/ctinews.m3u8
美亚电影,http://173.208.234.146/live/mymovie.m3u8
天映频道,http://173.208.234.146/live/typd.m3u8
爆谷台,http://173.208.234.146/live/nowbg.m3u8
星影台,http://173.208.234.146/live/nowxy.m3u8
Now星影台,http://iptv.852851.xyz/l/5gC9h6XtL1X3bJoC55t2qVlMPysmpR1MOrEigXzD1If0rc4moQDCzruuZ2JwV18A/index.m3u8
Now爆谷台,http://iptv.852851.xyz/l/xymz3CGYlMrfo9JW4yleXnZvlU8Q2uy0jRAohSOLl-N6DgSxzX4rvm6JAA14_eLl/index.m3u8
NOW新闻台,http://psyl11.dyndns.tv:35451/live/axdynowtream/fSlawNmh15/23.ts
SPOTV,http://iptv.4666888.xyz/iptv2A.php?id=2
SPOTV2,http://iptv.4666888.xyz/iptv2A.php?id=1
astroFootball,http://iptv.4666888.xyz/iptv2A.php?id=4
TntSports1,http://iptv.4666888.xyz/iptv2A.php?id=3
智林體育,http://iptv.4666888.xyz/iptv2A.php?id=5
JSPORTS1,http://iptv.4666888.xyz/iptv2A.php?id=6
SkyTennis+,http://iptv.4666888.xyz/iptv2A.php?id=62
鳳凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
TVB黃金華劇,http://iptv.4666888.xyz/iptv2A.php?id=34
TVB翡翠(馬來),http://iptv.4666888.xyz/iptv2A.php?id=28
TVB明珠,http://iptv.4666888.xyz/iptv2A.php?id=29
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25
千禧經典,http://iptv.4666888.xyz/iptv2A.php?id=22
HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35
TVB-獎門人,http://iptv.4666888.xyz/iptv2A.php?id=31
TVB-金曲,http://iptv.4666888.xyz/iptv2A.php?id=57
RTHK31,http://iptv.4666888.xyz/iptv2A.php?id=23
TVB娛樂新聞,http://iptv.4666888.xyz/iptv2A.php?id=36
MYTV黃金翡翠,http://iptv.4666888.xyz/iptv2A.php?id=32
TVB翡翠劇集,http://iptv.4666888.xyz/iptv2A.php?id=33
澳視澳門,http://iptv.4666888.xyz/iptv2A.php?id=41
中國電影,http://iptv.4666888.xyz/iptv2A.php?id=61
TVBS新聞,http://iptv.4666888.xyz/iptv2A.php?id=43
非凡新聞,http://iptv.4666888.xyz/iptv2A.php?id=44
民視,http://iptv.4666888.xyz/iptv2A.php?id=55
華藝中文,http://iptv.4666888.xyz/iptv2A.php?id=37
愛奇藝,http://iptv.4666888.xyz/iptv2A.php?id=21
靖洋戲劇,http://iptv.4666888.xyz/iptv2A.php?id=42
靖天電影,http://iptv.4666888.xyz/iptv2A.php?id=56
東森電影,http://iptv.4666888.xyz/iptv2A.php?id=48
緯來電影,http://iptv.4666888.xyz/iptv2A.php?id=54
龍華電影,http://iptv.4666888.xyz/iptv2A.php?id=45
龍華洋片,http://iptv.4666888.xyz/iptv2A.php?id=60
風雲恐怖電影,http://iptv.4666888.xyz/iptv2A.php?id=59
ROCK_Action,http://iptv.4666888.xyz/iptv2A.php?id=50
梦工场动漫,http://iptv.4666888.xyz/iptv2A.php?id=40
Duck TV兒童卡通,http://iptv.4666888.xyz/iptv2A.php?id=39
MOMO親子,http://iptv.4666888.xyz/iptv2A.php?id=49
金光布袋戲,http://iptv.4666888.xyz/iptv2A.php?id=38
民視綜藝,http://iptv.4666888.xyz/iptv2A.php?id=46
民視影劇,http://iptv.4666888.xyz/iptv2A.php?id=53
TVBS精采,http://iptv.4666888.xyz/iptv2A.php?id=47
臺視綜合,http://iptv.4666888.xyz/iptv2A.php?id=51
東森綜合2,http://iptv.4666888.xyz/iptv2A.php?id=58
八度空間,http://iptv.4666888.xyz/iptv2A.php?id=52
韓流美食料理秀,http://iptv.4666888.xyz/iptv2A.php?id=63
娛樂百分百,http://iptv.4666888.xyz/iptv2A.php?id=64
綜藝大贏家,http://iptv.4666888.xyz/iptv2A.php?id=65
香港C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/index.m3u8
香港32台,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
TVB星河3,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
娱乐新闻,http://v2hcdn.jdshipin.com/enew/enew.stream/chunklist_w103.m3u8
TVBJ1,https://bcovlive-a.akamaihd.net/e360e3f9895c4fae99b133ec8dc20f01/us-west-2/5324042807001/4a3bca5b047b4564b18bb12dfa26ba62/playlist_ssaiM.m3u8

四季台湾,#genre#
三立新闻,https://d2jc41c1shgcol.cloudfront.net/live/iNEWS/playlist.m3u8
中天新闻,https://d2jc41c1shgcol.cloudfront.net/live/CtiNEWS1/playlist.m3u8
东森新闻,https://d2jc41c1shgcol.cloudfront.net/live/EBCNews/playlist.m3u8
中视新闻,https://d2jc41c1shgcol.cloudfront.net/live/ctvnewsqt/playlist.m3u8
华视新闻,https://d2jc41c1shgcol.cloudfront.net/live/ctsnewsqt/playlist.m3u8
民视新闻,https://d2jc41c1shgcol.cloudfront.net/live/ftvnewsqt/playlist.m3u8
TVBS新闻,https://d2jc41c1shgcol.cloudfront.net/live/tvbsnewsqt/playlist.m3u8
LIVE三立,https://d2jc41c1shgcol.cloudfront.net/live/setnewsrtmp/playlist.m3u8
中天新闻,http://nmk.ioapk.com:5050/of-4gtv-4gtv009/index.m3u8?proxy=true
中天新闻,http://45.12.82.223:8080/live/yt01.m3u8
中天新闻,http://iactive-clink.com:8081/live/111ztxw.m3u8
中天新闻,http://111.0.115.129:8081/live/000ztxw.m3u8
中天新闻,http://safe.shanghairta.com:8081/live/000ztxw.m3u8
中天新闻,http://hsjky.com.cn:8081/live/999ztxw.m3u8
民視新聞,http://211.72.174.95:8117/0.ts
台视新聞,https://live.wcetv.com/hls/m3u8/ttvnews.m3u8
原視,https://hc9lby9bzw8zcar.wcetv.com/hls/titv.m3u8
中視,http://211.72.174.95:8113/0.ts
華視,http://211.72.174.95:8114/0.ts
公視,http://211.72.174.95:8116/0.ts
民視,http://211.72.174.95:8115/0.ts
台視,http://211.72.174.95:8112/0.ts
東森新聞,http://211.72.174.95:8138/0.ts
中視,http://220.135.241.47:8301/0.ts
中視新聞,http://220.135.241.47:8302/0.ts
中視經典,http://220.135.241.47:8321/0.ts
中視菁采,http://220.135.241.47:8322/0.ts
客家电视,http://220.135.241.47:8303/0.ts
公視,http://220.135.241.47:8305/0.ts
PTSxs,http://220.135.241.47:8312/0.ts
公視台語台,http://220.135.241.47:8306/0.ts
民視,http://220.135.241.47:8308/0.ts
民視第一台,http://220.135.241.47:8309/0.ts
民視台灣台,http://220.135.241.47:8311/0.ts
民視新聞台,http://220.135.241.47:8310/0.ts
台視,http://220.135.241.47:8313/0.ts
台視新聞,http://220.135.241.47:8314/0.ts
台視綜合,http://220.135.241.47:8316/0.ts
台視財經,http://220.135.241.47:8315/0.ts
華視,http://220.135.241.47:8317/0.ts
華視新聞資訊,http://220.135.241.47:8319/0.ts
華視教育體育文化,http://220.135.241.47:8318/0.ts
民视,rtmp://f13h.mine.nu/sat/tv051
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
台视,rtmp://f13h.mine.nu/sat/tv071
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
东森超视,rtmp://f13h.mine.nu/sat/tv331
tvbs,http://61.221.215.25:8800/hls/9/index.m3u8
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
纬来体育,rtmp://f13h.mine.nu/sat/tv721
DAZN-体育,rtmp://f13h.mine.nu/sat/tv731
DAZN-体育,rtmp://f13h.mine.nu/sat/tv741
momo'tv,rtmp://f13h.mine.nu/sat/tv761

四季台湾2,#genre#
滚动 Rollor,http://lax.dbm.cc.cd:8880/stream/c68d7d0c-6e85-4d49-a60c-c1f0cde73076/playlist.m3u8
MagellanTV频道 (旅游生活),http://lax.dbm.cc.cd:8880/stream/db253462-6436-433f-9f05-7e19dac35b56/playlist.m3u8
幸福空间居家台,http://lax.dbm.cc.cd:8880/stream/af180fb3-0b42-4f0a-8ab2-ddbd841808f2/playlist.m3u8
TV5MONDE Style,http://lax.dbm.cc.cd:8880/stream/8c2193eb-6464-43fe-ab00-6e0945b87641/playlist.m3u8
INULTRA,http://lax.dbm.cc.cd:8880/stream/877cc77a-9d13-4873-bb66-d0a5fa0b1b5e/playlist.m3u8
民视旅游,http://lax.dbm.cc.cd:8880/stream/cef99ebe-2ae1-4979-a89d-481934eed29f/playlist.m3u8
Lifetime,http://lax.dbm.cc.cd:8880/stream/0eec9885-55fd-4256-b8e5-2119fe10acaa/playlist.m3u8
爱尔达生活旅游台,http://lax.dbm.cc.cd:8880/stream/d547c1ed-1310-4a14-b2a6-7afe7d4a520c/playlist.m3u8
LUXE TV,http://lax.dbm.cc.cd:8880/stream/bbf72bd8-936c-423b-83df-872fac17b71b/playlist.m3u8
SMART知识台,http://lax.dbm.cc.cd:8880/stream/779895e9-36a3-4309-b30b-d7363c3076a9/playlist.m3u8
亚洲旅游,http://lax.dbm.cc.cd:8880/stream/d7631a20-87f8-49bb-b18a-1c26d0391e39/playlist.m3u8
Global Trekker,http://lax.dbm.cc.cd:8880/stream/7374292f-d86a-418d-aaf0-4b7df98cc558/playlist.m3u8
LOVE NATURE,http://lax.dbm.cc.cd:8880/stream/b72d2154-6c4e-4f88-a62c-e185988f18dc/playlist.m3u8
FUN 4K探索娱乐,http://lax.dbm.cc.cd:8880/stream/dca88786-7e7e-4927-9b2e-b6c71fa8e106/playlist.m3u8
TVBS精采台,http://lax.dbm.cc.cd:8880/stream/b58287c6-2589-4743-bfba-7bbe3c53e77f/playlist.m3u8
电影原声台 CMusic,http://lax.dbm.cc.cd:8880/stream/2dd36db7-6cf3-4254-ba7e-1b95fa6782a2/playlist.m3u8
八大精彩,http://lax.dbm.cc.cd:8880/stream/78bbd0f4-3781-40d6-b9ac-9a308028ad0e/playlist.m3u8
八大综合,http://lax.dbm.cc.cd:8880/stream/fa2dde65-14b6-46cd-bcb0-a5bdc55a8487/playlist.m3u8
CLASSICA古典乐,http://lax.dbm.cc.cd:8880/stream/8b1977b9-a507-4d73-a931-a6201bf7fd5b/playlist.m3u8
民视综合,http://lax.dbm.cc.cd:8880/stream/1151ad54-cfeb-46ad-8b41-5f81c23540d3/playlist.m3u8
费玉清歌唱,http://lax.dbm.cc.cd:8880/stream/65a5d857-ca08-47ef-b1c5-ebf17a80add7/playlist.m3u8
Mezzo Live HD,http://lax.dbm.cc.cd:8880/stream/3ecca107-7198-4199-ade4-9053bf79b8b5/playlist.m3u8
TVBS欢唱台,http://lax.dbm.cc.cd:8880/stream/26a43da9-8855-40bf-a7f2-7706aee416b6/playlist.m3u8
热门线上音乐厅,http://lax.dbm.cc.cd:8880/stream/576379c9-293f-4107-a688-97094d6f8987/playlist.m3u8
TRACE Urban,http://lax.dbm.cc.cd:8880/stream/fca7e344-45b7-42a7-b0c4-a73214a82ee1/playlist.m3u8
博斯无限二台,http://lax.dbm.cc.cd:8880/stream/30d256b6-5e05-48cb-a1b5-5b0e4ac1ed3f/playlist.m3u8
智林高育,http://lax.dbm.cc.cd:8880/stream/a5dbf1e6-f6ed-40a8-ba8b-eb2abbefdaeb/playlist.m3u8
GINX Esports TV,http://lax.dbm.cc.cd:8880/stream/ae378e97-62cf-4658-817b-757320381934/playlist.m3u8
博斯无限台,http://lax.dbm.cc.cd:8880/stream/b1f7773f-8bb7-4916-af54-28dcd0ec54d6/playlist.m3u8
时尚运动X,http://lax.dbm.cc.cd:8880/stream/9d1da939-bef3-4731-8265-3dbe97d8cece/playlist.m3u8
博斯魅力台,http://lax.dbm.cc.cd:8880/stream/206ed70f-e713-4bac-9bf6-beb7a896acdc/playlist.m3u8
车迷 TV,http://lax.dbm.cc.cd:8880/stream/0e002827-f971-4c07-966f-a263ff5ee1f5/playlist.m3u8
博斯高球台,http://lax.dbm.cc.cd:8880/stream/1d977426-5e3f-4b79-8d25-e23251d5a53f/playlist.m3u8
博斯高球二台,http://lax.dbm.cc.cd:8880/stream/a17121a9-2721-4318-9dc5-04a6e47230cb/playlist.m3u8
TRACE Sport Stars,http://lax.dbm.cc.cd:8880/stream/283c32bd-5e42-4928-b971-a8cc20fd1395/playlist.m3u8
博斯运动二台,http://lax.dbm.cc.cd:8880/stream/3e7f9dae-2527-4687-8edd-8b59dbbac86d/playlist.m3u8
博斯网球台,http://lax.dbm.cc.cd:8880/stream/c6ee19e5-e893-41e2-bac4-d03d6d59367b/playlist.m3u8
博斯运动一台,http://lax.dbm.cc.cd:8880/stream/fbe1d23c-7a67-4127-aff6-b347ed3e8001/playlist.m3u8
Getwin Sports运动台,http://lax.dbm.cc.cd:8880/stream/1853eb28-8c51-4169-948b-70716bfbb403/playlist.m3u8
半岛国际新闻台,http://lax.dbm.cc.cd:8880/stream/30f12635-a421-4d88-8360-eee54c8f9c6a/playlist.m3u8
SBN 全球财经台,http://lax.dbm.cc.cd:8880/stream/53e02658-22b2-4804-b924-954cee97e210/playlist.m3u8
寰宇新闻,http://lax.dbm.cc.cd:8880/stream/0503f16b-366e-46c8-943a-f21657378163/playlist.m3u8
DW德国之声,http://lax.dbm.cc.cd:8880/stream/f0d0828c-5ae1-4d4f-b94b-a99e3109538a/playlist.m3u8
非凡商业,http://lax.dbm.cc.cd:8880/stream/e0d5644d-605c-4048-aacc-d8fadf1c510a/playlist.m3u8
第1商业台,http://lax.dbm.cc.cd:8880/stream/0dce7e9f-cab0-4540-904b-bcb5d693922b/playlist.m3u8
三立新闻LIVE,http://lax.dbm.cc.cd:8880/stream/2d88927d-7a9d-4186-91b0-e7f086bb948d/playlist.m3u8
CNBC Asia 财经台,http://lax.dbm.cc.cd:8880/stream/7dd955fe-a0c4-44e7-9b94-5a5304e3fb4c/playlist.m3u8
苹果新闻台,http://lax.dbm.cc.cd:8880/stream/5ac787f6-53ce-4667-a4eb-c075293a354a/playlist.m3u8
中视新闻台,http://lax.dbm.cc.cd:8880/stream/4f09d90f-0209-4181-a6df-bfcb77ca129f/playlist.m3u8
镜新闻台,http://lax.dbm.cc.cd:8880/stream/a46b49d9-1137-4498-866c-36c82e0651c6/playlist.m3u8
东森新闻,http://lax.dbm.cc.cd:8880/stream/53e988b4-f177-4fde-9fb9-5f43af77a641/playlist.m3u8
民视新闻,http://lax.dbm.cc.cd:8880/stream/8b13663f-0e2b-443a-afd2-efb3f892835f/playlist.m3u8
非凡新闻,http://lax.dbm.cc.cd:8880/stream/410b3dc5-8151-4174-9747-56909600d973/playlist.m3u8
TVBS,http://lax.dbm.cc.cd:8880/stream/03214cb9-31c9-478a-9990-ac4915ddfe95/playlist.m3u8
NHK WORLD-JAPAN,http://lax.dbm.cc.cd:8880/stream/3f5a936d-6c35-4c6b-8503-3a6c15376fa9/playlist.m3u8
BLOOMBERG TV,http://lax.dbm.cc.cd:8880/stream/b958f3cd-1b9c-4db5-8274-b16cd00e3415/playlist.m3u8
寰宇财经,http://lax.dbm.cc.cd:8880/stream/39c21aee-35e5-4fef-81e9-7bdcc631517b/playlist.m3u8
TVBS新闻,http://lax.dbm.cc.cd:8880/stream/e4725905-ef0b-4760-8978-924316e1729b/playlist.m3u8
FRANCE24 英文台,http://lax.dbm.cc.cd:8880/stream/a6e809b3-c290-47ea-989d-75b54077c6ee/playlist.m3u8
三立新闻iNEWS,http://lax.dbm.cc.cd:8880/stream/4f071758-20b8-4e16-a2aa-110097763c12/playlist.m3u8
寰宇新闻台湾台,http://lax.dbm.cc.cd:8880/stream/0aabd784-66cd-41e4-a90b-1bacaf907699/playlist.m3u8
东森财经新闻,http://lax.dbm.cc.cd:8880/stream/91841dc4-aaa3-4202-8db6-8e0bf82263b7/playlist.m3u8
精选动漫台,http://lax.dbm.cc.cd:8880/stream/796fa6ff-374f-4ff5-b749-84b341e88176/playlist.m3u8
LiveABC互动英语频道,http://lax.dbm.cc.cd:8880/stream/58e77d5f-d5cb-4953-97f9-53f2d68445be/playlist.m3u8
ELTV生活英语台,http://lax.dbm.cc.cd:8880/stream/8b2f5bbf-77e0-4eac-8397-bf5bc476d705/playlist.m3u8
龙祥卡通 Nice Bingo,http://lax.dbm.cc.cd:8880/stream/59afddd9-a0d0-4b31-9c60-35653ae83bea/playlist.m3u8
龙华卡通,http://lax.dbm.cc.cd:8880/stream/6e1d7197-5b49-4d92-8b01-c1a457161b34/playlist.m3u8
尼克儿童频道,http://lax.dbm.cc.cd:8880/stream/38ec197b-3d94-4850-98c3-c0c59109c95a/playlist.m3u8
综合卡通台,http://lax.dbm.cc.cd:8880/stream/f66d9540-e8d0-436a-a8d9-7169b04f1747/playlist.m3u8
Nick Jr. 儿童频道,http://lax.dbm.cc.cd:8880/stream/1ac6da00-4b5b-4160-9c6f-53f09a0c24ac/playlist.m3u8
DreamWorks 梦工厂动画,http://lax.dbm.cc.cd:8880/stream/33f01a68-3ce8-4595-b491-492d55d033a9/playlist.m3u8
达文西频道,http://lax.dbm.cc.cd:8880/stream/d7d18cb2-0dca-4998-85d9-b7d9ea5fd721/playlist.m3u8
MOMO亲子,http://lax.dbm.cc.cd:8880/stream/4c37b043-7d4e-4a45-a279-d4bf3a408ae7/playlist.m3u8
History 历史频道,http://lax.dbm.cc.cd:8880/stream/ba041edb-7734-4354-aceb-149f954725a5/playlist.m3u8
影迷数位纪录台,http://lax.dbm.cc.cd:8880/stream/36ba58df-1741-4b1f-91ff-c2705bf041ef/playlist.m3u8
见识印度纪录频道,http://lax.dbm.cc.cd:8880/stream/b1bc588a-cab7-454e-94fd-f475c31da695/playlist.m3u8
CI 罪案调查频道,http://lax.dbm.cc.cd:8880/stream/10253fd8-2067-4a14-9937-db1cf354d23c/playlist.m3u8
新唐人亚太台,http://lax.dbm.cc.cd:8880/stream/decdcc2c-bc5e-4552-b587-bcd165007a3d/playlist.m3u8
苹果,http://lax.dbm.cc.cd:8880/stream/54489f05-2f4b-4bf0-9ccf-554ff6bb9948/playlist.m3u8
ABC Australia 澳洲公共频道,http://lax.dbm.cc.cd:8880/stream/a02529ad-9ce0-4f09-a050-d708e154c996/playlist.m3u8
好消息,http://lax.dbm.cc.cd:8880/stream/24881cae-fc0d-4624-80bd-02da975e8d04/playlist.m3u8
国会频道2台,http://lax.dbm.cc.cd:8880/stream/5728e607-6e48-40e0-91fd-b6283a547366/playlist.m3u8
龙华日本,http://lax.dbm.cc.cd:8880/stream/a714dff7-f849-4012-9314-871f95b500ed/playlist.m3u8
三立综合台,http://lax.dbm.cc.cd:8880/stream/32bf35cc-197c-4a79-bce5-4002ed53317e/playlist.m3u8
东森购物一台,http://lax.dbm.cc.cd:8880/stream/dd887a78-26a5-4ec8-8b4d-717e8a7fac63/playlist.m3u8
民视,http://lax.dbm.cc.cd:8880/stream/b1c9eea3-8251-460f-90a6-21a591dfd61d/playlist.m3u8
民视第一台,http://lax.dbm.cc.cd:8880/stream/9bcb89d7-fac5-4ae6-8ce7-f42ba33f3fea/playlist.m3u8
龙华综合,http://lax.dbm.cc.cd:8880/stream/d8c974de-d502-4199-9e01-cb1e8e259022/playlist.m3u8
原住民族电视台,http://lax.dbm.cc.cd:8880/stream/ccdcd217-60e7-4128-a39f-69c7b1fab698/playlist.m3u8
大爱二台,http://lax.dbm.cc.cd:8880/stream/f1677cdc-99e3-49d8-9c79-61642bd77f42/playlist.m3u8
客家电视台,http://lax.dbm.cc.cd:8880/stream/5c6900aa-30d8-479b-9928-efa8d44fe2fd/playlist.m3u8
东森购物二台,http://lax.dbm.cc.cd:8880/stream/e05e4195-30f0-4938-b8ab-317a1c31b2ec/playlist.m3u8
东森购物三台,http://lax.dbm.cc.cd:8880/stream/11b4ee1f-d298-410a-b77a-ba06afd7ccef/playlist.m3u8
国会频道1台,http://lax.dbm.cc.cd:8880/stream/2f4c54d8-b252-439e-ac00-04169b3c2146/playlist.m3u8
龙华育乐,http://lax.dbm.cc.cd:8880/stream/8734a060-c9c8-48db-a894-b4dfd54fc277/playlist.m3u8
KLT-龙华国际台,http://lax.dbm.cc.cd:8880/stream/c8733cb9-ce27-4030-86a9-4171a0fc8825/playlist.m3u8
中视,http://lax.dbm.cc.cd:8880/stream/0beae5a1-fa80-4b45-8b4c-dc6043ebcd7f/playlist.m3u8
民视台湾台,http://lax.dbm.cc.cd:8880/stream/77434f2e-8d96-40e6-92c1-e4a00ec7fbbc/playlist.m3u8
OUTtv,http://lax.dbm.cc.cd:8880/stream/128d195c-9622-4b65-8cd9-a3fb7eb1fc28/playlist.m3u8
ARIRANG阿里郎频道,http://lax.dbm.cc.cd:8880/stream/55e14ff1-17a4-49dd-a575-18b53a13b983/playlist.m3u8
韩国娱乐台,http://lax.dbm.cc.cd:8880/stream/f9bdc6c1-8334-4c9e-a9d8-461f8ac21967/playlist.m3u8
